Manufacturer,2004,2005,2006,2007
General Motors,8.9,9.0,8.9,8.8
Ford,7.8,7.7,7.8,7.9
DaimlerChrysler,4.1,4.2,4.3,4.6
Toyota,7.8,8.3,9.1,9.6
